Reference, Value, Footprint, Datasheet
"D7","TEMD5510FX01","footprints:TEMD5510",""
"R18","1G","Resistors_SMD:R_0603",""
"C24","0.2pF","Capacitors_SMD:C_0603",""
"U8","MCP23S17","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm",""
"C13","4.7uF","Capacitors_SMD:C_0603",""
"D1","PWR LED","LEDs:LED_0603",""
"R4","330Ω","Resistors_SMD:R_0603",""
"R12","10K","Resistors_SMD:R_0603",""
"R13","10K","Resistors_SMD:R_0603",""
"R14","10K","Resistors_SMD:R_0603",""
"R16","10K","Resistors_SMD:R_0603",""
"R15","10K","Resistors_SMD:R_0603",""
"C21","100nF","Capacitors_SMD:C_0603",""
"J1","DF14-8S-1.25H","footprints:Hirose_DF14-8P-1.25H",""
"U10","LTC6240-S5","TO_SOT_Packages_SMD:SOT-23-5",""
"U5","TPS79930","TO_SOT_Packages_SMD:SOT-23-5",""
"C17","2.2uF <1 ESR","Capacitors_SMD:C_0603",""
"C15","10nF 0.2 ESR","Capacitors_SMD:C_0603",""
"C9","1uF LOW ESR","Capacitors_SMD:C_0603",""
"U3","AD7194","Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm",""
"R1","100","Resistors_SMD:R_0603",""
"C3","10nF","Capacitors_SMD:C_0603",""
"R2","100","Resistors_SMD:R_0603",""
"C4","10nF","Capacitors_SMD:C_0603",""
"R3","100","Resistors_SMD:R_0603",""
"C5","10nF","Capacitors_SMD:C_0603",""
"C11","100nF","Capacitors_SMD:C_0603",""
"R5","10K","Resistors_SMD:R_0603",""
"C26","100nF","Capacitors_SMD:C_0603",""
"C27","10uF tantalum","Capacitors_SMD:C_0603",""
"C16","10uF tantalum","Capacitors_SMD:C_0603",""
"C12","100nF","Capacitors_SMD:C_0603",""
"C8","10uF tantalum","Capacitors_SMD:C_0603",""
"C6","100nF","Capacitors_SMD:C_0603",""
"U4","ADR391","TO_SOT_Packages_SMD:SOT-23-5",""
"J2","ANALOG DEBUG","Socket_Strips:Socket_Strip_Straight_2x04_Pitch2.54mm",""
"J3","DIGITAL DEBUG","Socket_Strips:Socket_Strip_Straight_2x07_Pitch2.54mm",""
"D2","470_LED","LEDs:LED_0603",""
"R7","330","Resistors_SMD:R_0603",""
"D3","470_LED","LEDs:LED_0603",""
"R8","330","Resistors_SMD:R_0603",""
"D4","470_LED","LEDs:LED_0603",""
"R10","330","Resistors_SMD:R_0603",""
"D5","470_LED","LEDs:LED_0603",""
"R11","330","Resistors_SMD:R_0603",""
"U1","ADPD2214","footprints:ADPD2214",""
"U2","ADPD2210","footprints:ADPD2210",""
"C1","100nF","Capacitors_SMD:C_0603",""
"C2","10uF tantalum","Capacitors_SMD:C_0603",""
"C7","100nF","Capacitors_SMD:C_0603",""
"C10","10uF tantalum","Capacitors_SMD:C_0603",""
"U6","AD797","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C19","100nF","Capacitors_SMD:C_0603",""
"C20","10uF tantalum","Capacitors_SMD:C_0603",""
"R6","R?","Resistors_SMD:R_0603",""
"C14","C?","Capacitors_SMD:C_0603",""
"C25","10uF tantalum","Capacitors_SMD:C_0603",""
"C23","100nF","Capacitors_SMD:C_0603",""
"C18","100nF","Capacitors_SMD:C_0603",""
"U7","TSL237T","footprints:TSL237T",""
"U9","LTC6240-S5","TO_SOT_Packages_SMD:SOT-23-5",""
"R9","10kΩ","Resistors_SMD:R_0603",""
"C22","0.1pF","Capacitors_SMD:C_0603",""
"R17","1G","Resistors_SMD:R_0603",""
"D6","SFH2430","footprints:SFH2430",""
